시점,행정구역(시도)별,행정구역(기초)별,성별,연령별,노인인구수,치매환자수,치매환자유병률,최경도 환자,경도 환자,중등도 환자,중증 환자,알츠하이머 환자수,알츠하이머 환자유병률,혈관성치매 환자수,혈관성치매 환자유병률,기타 환자환자수,기타 환자유병률,경도인지장애 환자수,경도인지장애 환자유병률
2020,서울특별시,도봉구,여,75~79세,6595,907.47,13.76,157.9,375.69,233.22,140.66,421.42,6.39,54.74,0.83,430.65,6.53,1375.58,20.86
2020,서울특별시,도봉구,여,80~84세,4488.5,1044.03,23.26,181.66,432.23,268.32,161.82,944.83,21.05,15.71,0.35,83.04,1.85,2067.32,46.06
2020,서울특별시,도봉구,여,85세이상,3489,1150.32,32.97,200.16,476.23,295.63,178.3,987.04,28.29,79.55,2.28,83.39,2.39,811.24,23.25
2020,서울특별시,도봉구,여,60세이상,47442.5,3467.61,7.31,603.36,1435.59,891.18,537.48,2694.05,5.68,166.24,0.35,606.66,1.28,8990.2,18.95
2020,서울특별시,도봉구,여,65세이상,32675.5,3451.37,10.56,600.54,1428.87,887,534.96,2694.05,8.24,150,0.46,606.66,1.86,8342.26,25.53
2020,서울특별시,노원구,전체,60~64세,38305.5,223.73,0.58,38.93,92.62,57.5,34.68,0,0,223.73,0.58,0,0,5490.06,14.33
2020,서울특별시,노원구,전체,65~69세,27038.5,372.31,1.38,64.78,154.14,95.68,57.71,348.24,1.29,0,0,24.07,0.09,4905.07,18.14
2020,서울특별시,노원구,전체,70~74세,20473,783.24,3.83,136.28,324.26,201.29,121.4,751.63,3.67,18.17,0.09,13.66,0.07,4391.92,21.45
2020,서울특별시,노원구,전체,75~79세,16055,1907.56,11.88,331.92,789.73,490.24,295.67,798.21,4.97,362.96,2.26,745.45,4.64,2415.6,15.05
2020,서울특별시,노원구,전체,80~84세,10549,2215.35,21,385.47,917.15,569.34,343.38,1738.46,16.48,80.19,0.76,396.03,3.75,5036.69,47.75
2020,서울특별시,노원구,전체,85세이상,7471,2905.34,38.89,505.53,1202.81,746.67,450.33,2532.77,33.9,243.75,3.26,128.28,1.72,1666.28,22.3
2020,서울특별시,노원구,전체,60세이상,119892,8407.53,7.01,1462.91,3480.72,2160.74,1303.17,6169.32,5.15,928.79,0.77,1307.5,1.09,23905.61,19.94
2020,서울특별시,노원구,전체,65세이상,81586.5,8183.8,10.03,1423.98,3388.09,2103.24,1268.49,6169.32,7.56,705.07,0.86,1307.5,1.6,18415.56,22.57
2020,서울특별시,노원구,남,60~64세,17803,201.17,1.13,35,83.28,51.7,31.18,0,0,201.17,1.13,0,0,4590.45,25.78
2020,서울특별시,노원구,남,65~69세,12667.5,234.35,1.85,40.78,97.02,60.23,36.32,210.28,1.66,0,0,24.07,0.19,1198.27,9.46
2020,서울특별시,노원구,남,70~74세,9086,423.41,4.66,73.67,175.29,108.82,65.63,404.33,4.45,18.17,0.2,0,0,2283.35,25.13
2020,서울특별시,노원구,남,75~79세,6658,614.53,9.23,106.93,254.42,157.93,95.25,197.74,2.97,284.96,4.28,131.83,1.98,455.58,6.84
2020,서울특별시,노원구,남,80~84세,3863,660.19,17.09,114.87,273.32,169.67,102.33,331.06,8.57,56.79,1.47,272.34,7.05,1957.24,50.67
2020,서울특별시,노원구,남,85세이상,2103.5,1135.68,53.99,197.61,470.17,291.87,176.03,1014.31,48.22,121.37,5.77,0,0,418.27,19.88
2020,서울특별시,노원구,남,60세이상,52181,3269.33,6.27,568.86,1353.5,840.22,506.75,2157.72,4.14,682.47,1.31,428.24,0.82,10903.15,20.89
2020,서울특별시,노원구,남,65세이상,34378,3068.16,8.92,533.86,1270.22,788.52,475.56,2157.72,6.28,481.29,1.4,428.24,1.25,6312.7,18.36
2020,서울특별시,노원구,여,60~64세,20502.5,22.55,0.11,3.92,9.34,5.8,3.5,0,0,22.55,0.11,0,0,899.61,4.39
2020,서울특별시,노원구,여,65~69세,14371,137.96,0.96,24.01,57.12,35.46,21.38,137.96,0.96,0,0,0,0,3706.8,25.79
