"합계",광진구,54210,27186,27024,48772,24172,24600,35001,17687,17314,3203,1367,1836,551,192,359,7073,3229,3844,2944,1697,1247,5438,3014,2424,53169,25927,27242,48369,23419,24950,33922,16880,17042,3461,1385,2076,515,186,329,8214,3779,4435,2257,1189,1068,4800,2508,2292,54866,26630,28236,49303,23733,25570,34026,16999,17027,3512,1415,2097,566,219,347,8835,3850,4985,2364,1250,1114,5563,2897,2666,56337,27057,29280,50250,24028,26222,34025,17100,16925,3591,1359,2232,585,218,367,9655,4129,5526,2394,1222,1172,6087,3029,3058,58714,28035,30679,52345,24993,27352,34357,17395,16962,4142,1565,2577,557,200,357,10857,4551,6306,2432,1282,1150,6369,3042,3327,62301,29570,32731,54925,26107,28818,35368,17899,17469,4296,1606,2690,663,250,413,12125,5072,7053,2473,1280,1193,7376,3463,3913,66140,31456,34684,57695,27549,30146,36204,18429,17775,4694,1700,2994,731,266,465,13392,5679,7713,2674,1475,1199,8445,3907,4538
"합계",동대문구,52884,27587,25297,45888,23464,22424,29835,15949,13886,8785,3713,5072,566,261,305,4188,2104,2084,2514,1437,1077,6996,4123,2873,52650,27103,25547,45597,23117,22480,29177,15541,13636,9051,3783,5268,599,282,317,4322,2164,2158,2448,1347,1101,7053,3986,3067,54030,27638,26392,46323,23324,22999,28911,15375,13536,9638,3941,5697,629,290,339,4713,2396,2317,2432,1322,1110,7707,4314,3393,55593,28098,27495,47915,23847,24068,29027,15399,13628,10703,4340,6363,622,292,330,5234,2609,2625,2329,1207,1122,7678,4251,3427,58152,29176,28976,50021,24830,25191,29191,15476,13715,11962,4890,7072,694,313,381,5628,2748,2880,2546,1403,1143,8131,4346,3785,60925,30239,30686,50318,24795,25523,28263,15076,13187,13025,5253,7772,775,364,411,6025,2922,3103,2230,1180,1050,10607,5444,5163,65290,32424,32866,53204,26265,26939,28851,15664,13187,14708,5844,8864,892,395,497,6404,3107,3297,2349,1255,1094,12086,6159,5927
"합계",중랑구,45138,23317,21821,42648,21743,20905,29063,15527,13536,6587,2628,3959,827,383,444,4529,2165,2364,1642,1040,602,2490,1574,916,45717,23176,22541,42835,21500,21335,28600,15278,13322,6891,2640,4251,760,330,430,5271,2535,2736,1313,717,596,2882,1676,1206,47543,24000,23543,44488,22236,22252,29030,15574,13456,7470,2850,4620,773,331,442,5812,2712,3100,1403,769,634,3055,1764,1291,49207,24711,24496,45940,22833,23107,28846,15407,13439,8012,3085,4927,834,363,471,6787,3177,3610,1461,801,660,3267,1878,1389,52196,25988,26208,48599,23967,24632,29517,15866,13651,8886,3349,5537,890,355,535,7692,3503,4189,1614,894,720,3597,2021,1576,56605,28068,28537,52480,25821,26659,30367,16400,13967,10631,4084,6547,1007,416,591,8825,3997,4828,1650,924,726,4125,2247,1878,60487,29812,30675,55974,27372,28602,31469,16999,14470,11561,4387,7174,1064,439,625,9983,4400,5583,1897,1147,750,4513,2440,2073
"합계",성북구,52005,24024,27981,48913,22512,26401,29345,14143,15202,9614,3809,5805,1229,564,665,6182,2735,3447,2543,1261,1282,3092,1512,1580,54117,24615,29502,49692,22422,27270,29496,13940,15556,9688,3687,6001,1111,468,643,6614,2910,3704,2783,1417,1366,4425,2193,2232,54243,24560,29683,49522,22237,27285,28424,13503,14921,10249,3938,6311,1131,484,647,6953,2983,3970,2765,1329,1436,4721,2323,2398,55136,24777,30359,50351,22430,27921,28327,13442,14885,10703,3993,6710,1140,476,664,7457,3236,4221,2724,1283,1441,4785,2347,2438,57832,26131,31701,53089,23800,29289,28593,13702,14891,12168,4678,7490,1206,490,716,8305,3548,4757,2817,1382,1435,4743,2331,2412,61510,27229,34281,56001,24585,31416,29270,13717,15553,13300,5014,8286,1447,601,846,9417,4037,5380,2567,1216,1351,5509,2644,2865,64985,29018,35967,59090,26245,32845,29696,14248,15448,14684,5554,9130,1560,694,866,10436,4463,5973,2714,1286,1428,5895,2773,3122
"합계",강북구,35787,16600,19187,33339,15190,18149,19349,9380,9969,5343,2002,3341,749,295,454,7046,3046,4000,852,467,385,2448,1410,1038,36668,16871,19797,34256,15496,18760,19573,9518,10055,5453,1964,3489,824,319,505,7588,3254,4334,818,441,377,2412,1375,1037,39082,17809,21273,36431,16278,20153,20371,9776,10595,5954,2179,3775,886,336,550,8294,3507,4787,926,480,446,2651,1531,1120,40872,18508,22364,38020,16858,21162,20918,10104,10814,6208,2175,4033,893,323,570,9084,3786,5298,917,470,447,2852,1650,1202,42791,19517,23274,39843,17770,22073,21490,10530,10960,6993,2520,4473,905,336,569,9500,3880,5620,955,504,451,2948,1747,1201,45685,20958,24727,42513,19028,23485,22451,11028,11423,7211,2622,4589,1024,393,631,10889,4483,6406,938,502,436,3172,1930,1242,48428,22386,26042,45110,20366,24744,23089,11446,11643,7862,2879,4983,1144,433,711,12016,5040,6976,999,568,431,3318,2020,1298
"합계",도봉구,27348,12315,15033,25805,11469,14336,11756,5840,5916,8498,3052,5446,558,232,326,4482,2072,2410,511,273,238,1543,846,697,28296,12607,15689,26423,11543,14880,11819,5938,5881,8625,2956,5669,618,268,350,4838,2092,2746,523,289,234,1873,1064,809,29469,13093,16376,27144,11734,15410,11849,5907,5942,8970,3068,5902,589,243,346,5180,2214,2966,556,302,254,2325,1359,966,30848,13586,17262,28410,12120,16290,11765,5881,5884,9737,3302,6435,626,250,376,5745,2408,3337,537,279,258,2438,1466,972,32653,14396,18257,29897,12804,17093,12137,6185,5952,10374,3473,6901,654,254,400,6131,2558,3573,601,334,267,2756,1592,1164,34884,15438,19446,31875,13708,18167,12497,6392,6105,11176,3775,7401,700,280,420,6967,2966,4001,535,295,240,3009,1730,1279,37853,16789,21064,34349,14861,19488,12824,6597,6227,12233,4246,7987,850,355,495,7848,3315,4533,594,348,246,3504,1928,1576
"합계",노원구,46129,20078,26051,43478,18357,25121,11384,6141,5243,26805,9449,17356,492,218,274,3645,1833,1812,1152,716,436,2651,1721,930,47641,20427,27214,45517,19109,26408,11681,6227,5454,28519,10157,18362,547,261,286,3879,1930,1949,891,534,357,2124,1318,806,49265,20740,28525,46970,19298,27672,11737,6127,5610,29566,10388,19178,640,291,349,4164,1992,2172,863,500,363,2295,1442,853,51280,21674,29606,48843,20170,28673,11789,6159,5630,31115,11058,20057,639,276,363,4429,2148,2281,871,529,342,2437,1504,933,53365,22556,30809,50960,20977,29983,11610,6192,5418,33073,11699,21374,701,301,400,4632,2221,2411,944,564,380,2405,1579,826,56438,23701,32737,53902,22097,31805,11293,5846,5447,35828,12899,22929,771,353,418,5127,2492,2635,883,507,376,2536,1604,932,60647,25813,34834,57976,24130,33846,12235,6578,5657,38532,13925,24607,791,350,441,5402,2629,2773,1016,648,368,2671,1683,988
"합계",은평구,43936,20042,23894,39443,17741,21702,18030,8461,9569,6442,2609,3833,881,334,547,12885,5665,7220,1205,672,533,4493,2301,2192,44440,19908,24532,39564,17469,22095,17709,8291,9418,6507,2506,4001,821,313,508,13535,5829,7706,992,530,462,4876,2439,2437,46535,20727,25808,40615,17793,22822,17315,8130,9185,6987,2703,4284,851,299,552,14439,6110,8329,1023,551,472,5920,2934,2986,48888,21694,27194,42370,18568,23802,17252,8202,9050,7428,2836,4592,907,337,570,15721,6631,9090,1062,562,500,6518,3126,3392,52814,23209,29605,45351,19793,25558,17926,8560,9366,8711,3320,5391,907,340,567,16770,7017,9753,1037,556,481,7463,3416,4047,57853,25221,32632,49596,21487,28109,19034,9112,9922,9637,3617,6020,1013,385,628,18922,7849,11073,990,524,466,8257,3734,4523,62447,27014,35433,53712,23170,30542,19250,9265,9985,11401,4244,7157,1069,389,680,20808,8598,12210,1184,674,510,8735,3844,4891
"합계",서대문구,40160,18156,22004,36655,16495,20160,20573,9632,10941,6991,2745,4246,1004,414,590,6563,2910,3653,1524,794,730,3505,1661,1844,43298,18918,24380,39384,17052,22332,22849,10289,12560,7099,2712,4387,1042,431,611,7016,2994,4022,1378,626,752,3914,1866,2048,43418,18891,24527,39036,16856,22180,21588,9866,11722,7917,2904,5013,1006,383,623,7135,3054,4081,1390,649,741,4382,2035,2347,44795,19553,25242,40211,17477,22734,21768,10025,11743,8261,3048,5213,1075,410,665,7608,3261,4347,1499,733,766,4584,2076,2508,46449,20161,26288,41741,18080,23661,21659,10037,11622,8957,3239,5718,1104,440,664,8507,3670,4837,1514,694,820,4708,2081,2627,49863,21359,28504,44411,19032,25379,22522,10227,12295,10144,3790,6354,1141,439,702,9178,3882,5296,1426,694,732,5452,2327,3125,52792,23061,29731,46401,20422,25979,22303,10559,11744,11148,4156,6992,1303,514,789,9954,4311,5643,1693,882,811,6391,2639,3752
"합계",마포구,52437,23877,28560,45552,20665,24887,22274,10747,11527,10128,4067,6061,612,246,366,10731,4684,6047,1807,921,886,6885,3212,3673,53382,24004,29378,45531,20445,25086,21923,10594,11329,10301,3997,6304,686,292,394,10848,4649,6199,1773,913,860,7851,3559,4292,54162,24036,30126,45536,20177,25359,20949,10072,10877,10832,4151,6681,648,261,387,11287,4744,6543,1820,949,871,8626,3859,4767,56837,24992,31845,46117,20435,25682,20762,10135,10627,11018,4092,6926,663,275,388,11909,5035,6874,1765,898,867,10720,4557,6163,59248,25671,33577,47643,20949,26694,20927,10167,10760,11753,4369,7384,649,275,374,12595,5285,7310,1719,853,866,11605,4722,6883,63172,27264,35908,50408,22244,28164,20980,10355,10625,12980,4765,8215,709,313,396,14010,5942,8068,1729,869,860,12764,5020,7744,67162,29119,38043,53878,23940,29938,20911,10475,10436,15028,5578,9450,808,339,469,15487,6698,8789,1644,850,794,13284,5179,8105
