"자치구별(1)",자치구별(2),2020,2020,2020,2020,2020,2020,2019,2019,2019,2019,2019,2019,2018,2018,2018,2018,2018,2018,2017,2017,2017,2017,2017,2017,2016,2016,2016,2016,2016,2016,2015,2015,2015,2015,2015,2015,2014,2014,2014,2014,2014,2014,2013,2013,2013,2013,2013,2013,2012,2012,2012,2012,2012,2012,2011,2011,2011,2011,2011,2011
"자치구별(1)",자치구별(2),공원,공원,도시공원,도시공원,도보생활권공원,도보생활권공원,공원,공원,도시공원,도시공원,생활권 공원,생활권 공원,공원,공원,도시공원,도시공원,생활권 공원,생활권 공원,공원,공원,도시공원,도시공원,생활권 공원,생활권 공원,공원,공원,도시공원,도시공원,생활권 공원,생활권 공원,공원,공원,도시공원,도시공원,생활권 공원,생활권 공원,공원,공원,도시공원,도시공원,생활권 공원,생활권 공원,공원,공원,도시공원,도시공원,생활권 공원,생활권 공원,공원,공원,도시공원,도시공원,생활권 공원,생활권 공원,공원,공원,도시공원,도시공원,생활권 공원,생활권 공원
"자치구별(1)",자치구별(2),면적 (천㎡),1인당 공원면적 (㎡),면적 (천㎡),1인당 공원면적 (㎡),면적 (천㎡),1인당 공원면적 (㎡),면적 (천㎡),1인당 공원면적 (㎡),면적 (천㎡),1인당 공원면적 (㎡),면적 (천㎡),1인당 공원면적 (㎡),면적 (천㎡),1인당 공원면적 (㎡),면적 (천㎡),1인당 공원면적 (㎡),면적 (천㎡),1인당 공원면적 (㎡),면적 (천㎡),1인당 공원면적 (㎡),면적 (천㎡),1인당 공원면적 (㎡),면적 (천㎡),1인당 공원면적 (㎡),면적 (천㎡),1인당 공원면적 (㎡),면적 (천㎡),1인당 공원면적 (㎡),면적 (천㎡),1인당 공원면적 (㎡),면적 (천㎡),1인당 공원면적 (㎡),면적 (천㎡),1인당 공원면적 (㎡),면적 (천㎡),1인당 공원면적 (㎡),면적 (천㎡),1인당 공원면적 (㎡),면적 (천㎡),1인당 공원면적 (㎡),면적 (천㎡),1인당 공원면적 (㎡),면적 (천㎡),1인당 공원면적 (㎡),면적 (천㎡),1인당 공원면적 (㎡),면적 (천㎡),1인당 공원면적 (㎡),면적 (천㎡),1인당 공원면적 (㎡),면적 (천㎡),1인당 공원면적 (㎡),면적 (천㎡),1인당 공원면적 (㎡),면적 (천㎡),1인당 공원면적 (㎡),면적 (천㎡),1인당 공원면적 (㎡),면적 (천㎡),1인당 공원면적 (㎡)
"합계",중랑구,4990.30,12.49,4807.63,12.03,1668.90,4.18,5205.30,12.90,5022.60,12.50,1725.10,4.30,5206.30,12.80,5023.70,12.30,1726.20,4.20,5206.50,12.60,5023.80,12.20,1723.80,4.20,5211.90,12.50,5029.20,12.10,1723.80,4.10,5233.00,12.50,5051.70,12.10,1744.90,4.20,5231.70,12.40,5050.40,11.90,1743.70,4.10,5230.70,12.40,5049.40,12.10,1742.60,4.10,5242.90,12.40,5062.40,11.90,1686.80,4.00,5242.90,12.20,5062.40,11.80,1686.80,3.90
"합계",성북구,8507.35,19.03,4586.77,10.26,1640.43,3.67,8329.40,18.30,4407.00,9.70,2225.90,4.90,8342.40,18.60,4420.00,9.90,2209.90,4.90,8338.10,18.30,4415.70,9.70,2195.20,4.80,8393.00,18.20,4470.60,9.70,2195.20,4.80,8393.00,17.90,4470.60,9.50,2195.20,4.70,8391.20,17.60,4468.80,9.40,2191.70,4.60,8391.20,17.30,4468.80,9.20,2191.70,4.50,8391.20,17.10,4468.80,9.10,2191.70,4.50,8166.70,16.50,4465.30,9.00,2185.60,4.40
"합계",강북구,14424.50,46.30,2369.58,7.61,1955.55,6.28,14342.30,45.10,2287.40,7.20,2155.10,6.80,14346.70,44.40,2291.80,7.10,2147.80,6.70,14337.60,43.70,2280.20,7.00,2145.10,6.50,14337.60,43.40,2280.20,6.90,2145.10,6.50,14337.60,42.90,2280.20,6.80,2145.10,6.40,14337.60,42.40,2280.20,6.70,2145.10,6.30,14336.60,41.90,2279.20,6.70,2145.00,6.30,14336.60,41.40,2279.20,6.60,2147.60,6.20,14338.80,41.10,1576.70,4.50,1479.30,4.20
"합계",도봉구,10160.38,31.04,1250.21,3.82,1121.06,3.42,10075.00,30.00,1163.50,3.50,1319.80,3.90,10075.30,29.50,1163.80,3.40,1319.80,3.90,10083.60,29.10,1165.90,3.40,1276.20,3.70,10083.80,28.80,1166.00,3.30,1276.30,3.60,10069.60,28.50,1151.20,3.30,1277.00,3.60,10069.60,28.30,1151.20,3.20,1277.00,3.60,10059.20,27.90,1150.30,3.20,1266.30,3.50,10059.10,27.60,1150.40,3.20,1260.20,3.50,10505.10,28.60,1150.40,3.10,1260.20,3.40
"합계",노원구,14741.81,27.97,14406.71,27.34,1883.81,3.57,14344.40,26.70,13848.10,25.80,3061.60,5.70,14337.70,26.20,13850.20,25.30,3054.60,5.60,14337.70,25.70,13850.20,24.80,2794.10,5.00,14168.90,24.80,13852.10,24.30,2625.30,4.60,14163.00,24.50,13850.00,24.00,2619.50,4.50,14163.00,24.20,13850.00,23.60,2619.40,4.50,14163.50,23.80,13851.70,23.30,2618.10,4.40,14142.40,23.50,13847.40,23.00,2576.90,4.30,14125.80,23.20,13851.00,22.80,2576.90,4.20
"합계",은평구,14365.72,29.68,6597.53,13.63,2200.62,4.55,13991.60,28.90,6223.40,12.80,1265.80,2.60,13997.90,28.70,6228.90,12.80,1253.90,2.60,13997.90,28.50,6228.90,12.70,1251.80,2.60,13999.60,28.20,6229.90,12.60,1253.50,2.50,13999.60,27.90,6230.00,12.40,1253.50,2.50,14024.30,27.90,6254.60,12.40,1253.50,2.50,14031.20,27.60,6254.60,12.30,1255.20,2.50,14026.10,27.70,6249.50,12.40,818.30,1.60,15855.60,31.80,6300.40,12.60,800.60,1.60
"합계",서대문구,5082.16,15.74,4843.67,15.00,1123.23,3.48,5143.30,15.90,4904.80,15.20,1672.70,5.20,5136.10,15.90,4898.20,15.20,1664.40,5.20,5136.20,15.80,4898.20,15.10,1648.00,5.10,5135.30,15.80,4900.40,15.00,1636.30,5.00,5136.10,15.90,4901.20,15.20,1607.60,5.00,5136.20,16.00,4901.30,15.30,1601.00,5.00,5136.20,15.90,4901.30,15.10,1601.00,4.90,5506.90,17.00,4901.30,15.10,1973.20,6.10,5579.50,17.20,4902.90,15.10,1973.20,6.10
"합계",마포구,4565.37,11.96,3252.39,8.52,4337.71,11.36,4440.00,11.50,3126.90,8.10,4321.70,11.20,4439.90,11.50,3126.70,8.10,4315.40,11.20,4439.90,11.50,3126.80,8.10,4312.60,11.20,4439.30,11.40,3126.10,8.00,4209.00,10.80,4505.50,11.30,3180.70,8.00,4126.40,10.40,4404.10,11.10,3080.40,7.80,4119.60,10.40,4808.80,12.30,2347.50,6.00,4399.00,11.20,5214.10,13.20,2341.10,5.90,4776.10,12.10,5082.20,12.70,2209.20,5.50,4686.20,11.80
"합계",양천구,3049.63,6.66,2627.05,5.74,2205.57,4.82,2912.00,6.30,2489.50,5.40,1891.80,4.10,2909.80,6.20,2487.30,5.30,1886.60,4.00,2909.90,6.10,2487.30,5.20,1886.60,4.00,2909.80,6.00,2487.30,5.20,1886.60,3.90,2906.10,5.90,2483.50,5.10,1879.30,3.80,2906.10,5.90,2483.50,5.10,1879.30,3.80,2906.10,5.90,2483.50,5.00,1879.30,3.80,2906.10,5.80,2483.50,5.00,1879.30,3.80,2865.50,5.70,2443.00,4.80,1838.80,3.60
"합계",강서구,4512.05,7.70,3427.68,5.85,3519.75,6.01,4370.30,7.30,3285.90,5.50,4239.00,7.10,4329.30,7.20,3244.90,5.40,4225.50,7.00,4329.30,7.10,3244.90,5.30,3665.60,6.00,4329.10,7.20,3244.70,5.40,3665.60,6.10,4329.10,7.30,3244.70,5.40,3665.60,6.20,4341.30,7.30,3257.90,5.50,3270.20,5.50,4324.00,7.50,3240.60,5.60,3270.20,5.70,4004.10,7.00,3236.80,5.60,2950.30,5.10,4004.10,7.00,3236.80,5.60,2950.30,5.10
