특성별(1),특성별(2),국가안보(전쟁 가능성 북핵 등)(매우 불안하다 (퍼센트)),국가안보(전쟁 가능성 북핵 등)(불안한 편이다 (퍼센트)),국가안보(전쟁 가능성 북핵 등)(보통이다 (퍼센트)),국가안보(전쟁 가능성 북핵 등)(안전한 편이다 (퍼센트)),국가안보(전쟁 가능성 북핵 등)(매우 안전하다 (퍼센트)),국가안보(전쟁 가능성 북핵 등)(5점 평균 (점)),자연재해(태풍 지진 등)(매우 불안하다 (퍼센트)),자연재해(태풍 지진 등)(불안한 편이다 (퍼센트)),자연재해(태풍 지진 등)(보통이다 (퍼센트)),자연재해(태풍 지진 등)(안전한 편이다 (퍼센트)),자연재해(태풍 지진 등)(매우 안전하다 (퍼센트)),자연재해(태풍 지진 등)(5점 평균 (점)),건축물 및 시설물(주택 교량 등)(매우 불안하다 (퍼센트)),건축물 및 시설물(주택 교량 등)(불안한 편이다 (퍼센트)),건축물 및 시설물(주택 교량 등)(보통이다 (퍼센트)),건축물 및 시설물(주택 교량 등)(안전한 편이다 (퍼센트)),건축물 및 시설물(주택 교량 등)(매우 안전하다 (퍼센트)),건축물 및 시설물(주택 교량 등)(5점 평균 (점)),교통사고(매우 불안하다 (퍼센트)),교통사고(불안한 편이다 (퍼센트)),교통사고(보통이다 (퍼센트)),교통사고(안전한 편이다 (퍼센트)),교통사고(매우 안전하다 (퍼센트)),교통사고(5점 평균 (점)),화재(산불 포함)(매우 불안하다 (퍼센트)),화재(산불 포함)(불안한 편이다 (퍼센트)),화재(산불 포함)(보통이다 (퍼센트)),화재(산불 포함)(안전한 편이다 (퍼센트)),화재(산불 포함)(매우 안전하다 (퍼센트)),화재(산불 포함)(5점 평균 (점)),먹거리(불량식품 식중독)(매우 불안하다 (퍼센트)),먹거리(불량식품 식중독)(불안한 편이다 (퍼센트)),먹거리(불량식품 식중독)(보통이다 (퍼센트)),먹거리(불량식품 식중독)(안전한 편이다 (퍼센트)),먹거리(불량식품 식중독)(매우 안전하다 (퍼센트)),먹거리(불량식품 식중독)(5점 평균 (점)),정보보안(컴퓨터바이러스 개인정보유출 해킹 등)(매우 불안하다 (퍼센트)),정보보안(컴퓨터바이러스 개인정보유출 해킹 등)(불안한 편이다 (퍼센트)),정보보안(컴퓨터바이러스 개인정보유출 해킹 등)(보통이다 (퍼센트)),정보보안(컴퓨터바이러스 개인정보유출 해킹 등)(안전한 편이다 (퍼센트)),정보보안(컴퓨터바이러스 개인정보유출 해킹 등)(매우 안전하다 (퍼센트)),정보보안(컴퓨터바이러스 개인정보유출 해킹 등)(5점 평균 (점)),전염병(신종 바이러스 등)(매우 불안하다 (퍼센트)),전염병(신종 바이러스 등)(불안한 편이다 (퍼센트)),전염병(신종 바이러스 등)(보통이다 (퍼센트)),전염병(신종 바이러스 등)(안전한 편이다 (퍼센트)),전염병(신종 바이러스 등)(매우 안전하다 (퍼센트)),전염병(신종 바이러스 등)(5점 평균 (점)),범죄 위험(매우 불안하다 (퍼센트)),범죄 위험(불안한 편이다 (퍼센트)),범죄 위험(보통이다 (퍼센트)),범죄 위험(안전한 편이다 (퍼센트)),범죄 위험(매우 안전하다 (퍼센트)),범죄 위험(5점 평균 (점)),환경 오염(대기 수질 토양 등)(매우 불안하다 (퍼센트)),환경 오염(대기 수질 토양 등)(불안한 편이다 (퍼센트)),환경 오염(대기 수질 토양 등)(보통이다 (퍼센트)),환경 오염(대기 수질 토양 등)(안전한 편이다 (퍼센트)),환경 오염(대기 수질 토양 등)(매우 안전하다 (퍼센트)),환경 오염(대기 수질 토양 등)(5점 평균 (점))
학력별,고졸,2,15.9,47.6,31.3,3.3,3.2,0.8,9.7,50.4,34.3,4.8,3.3,0.8,8,55.1,30.7,5.3,3.3,1.9,18.2,52.1,23,4.8,3.1,0.6,8.9,55.8,28.8,5.8,3.3,1.4,8.9,57.8,27,4.9,3.2,3.2,13.9,53.9,24.9,4.1,3.1,8.6,28.9,40.5,18.2,3.9,2.8,9.5,31.3,36.9,18.1,4.1,2.8,7.7,30,40.4,18.1,3.8,2.8
학력별,대졸이상,2,17.5,47.1,30.1,3.2,3.2,0.9,10.5,47.8,36.2,4.7,3.3,1,9,51.8,33.3,4.9,3.3,2.4,18.4,51.4,23.9,4,3.1,0.9,8,55.6,29.9,5.7,3.3,1.5,9.4,56.1,28.3,4.7,3.3,2.7,13.1,54.3,25.3,4.5,3.2,9.2,27.7,40.4,19.3,3.3,2.8,11.3,31.2,34.7,18.6,4.1,2.7,9.1,30.3,39.1,18.1,3.4,2.8
직업별,전문관리,2.5,15.3,48.2,29.7,4.3,3.2,1.2,9.3,49.8,33.8,6,3.3,1,10.1,52,31.2,5.7,3.3,1.7,19.6,51.3,23.3,4,3.1,0.5,8.3,57,27.2,7,3.3,1.6,9.8,56.2,25.7,6.7,3.3,3.2,13.3,52.7,24.6,6.2,3.2,8.5,26.1,42.1,19.5,3.8,2.8,9.5,30.2,36.8,18.8,4.7,2.8,8.9,31.4,39.2,16.1,4.4,2.8
직업별,사무,1.4,15,48.7,31.2,3.6,3.2,0.6,9.3,47.7,38,4.4,3.4,0.6,8.2,51.7,34,5.6,3.4,1.8,18.1,50.2,24.3,5.6,3.1,0.8,7.7,54.5,31.2,5.8,3.3,1.6,9,56.6,28.3,4.5,3.3,3.3,11.2,54.7,25.9,5,3.2,9,25,42.4,18.7,4.9,2.9,10.6,28.5,37.1,18.7,5.1,2.8,8.9,28,39.1,19.9,4.1,2.8
직업별,서비스판매,2.2,17,43.3,34.8,2.7,3.2,0.6,10.5,46,37.7,5.1,3.4,0.8,8.3,50.9,34.3,5.8,3.4,2.4,17.1,51.1,24.1,5.4,3.1,0.4,9.1,52,32.2,6.4,3.4,1.2,9.3,53.6,31,4.9,3.3,2.7,13.1,53.7,26.7,3.8,3.2,8.8,25.6,39.6,21.7,4.3,2.9,9.8,29.2,34.9,22.1,4.1,2.8,8.3,29.1,37.3,22,3.3,2.8
직업별,농어업,1,8.2,23.2,51,16.6,3.7,-,7.8,18.7,49.4,24.1,3.9,-,5.5,23,45.9,25.6,3.9,1.3,12.9,21.8,43.6,20.4,3.7,1.3,5.1,26.9,44.7,22,3.8,-,8.7,29.5,36.7,25,3.8,0.5,12.7,30.4,36,20.4,3.6,1.1,23.2,29.3,29.2,17.2,3.4,2.3,22,20.1,35.8,19.7,3.5,0.8,20.6,19.2,29.1,30.3,3.7
직업별,기능노무,2,17.9,48.1,29.4,2.6,3.1,0.8,11.1,50.5,34.2,3.4,3.3,1,9.3,54.3,31.6,3.8,3.3,1.9,19.4,51.9,23.7,3.1,3.1,1.4,9.6,57.3,27.3,4.5,3.2,2.9,8.8,58,26.7,3.6,3.2,3.8,15.2,53.3,25,2.7,3.1,8.8,34,37.7,16.8,2.7,2.7,8.7,35.7,36.9,15.5,3.2,2.7,8,31.9,41.3,15.4,3.4,2.7
직업별,학생,1.9,14.5,49.8,29.9,3.8,3.2,0.6,8.1,53.1,32.5,5.7,3.3,0.8,6.3,56.5,31.5,4.9,3.3,2.5,14.4,55.7,23.6,3.7,3.1,0.5,6.9,56.5,30.2,5.9,3.3,1.3,8,57.9,26.2,6.6,3.3,2.7,10.9,57.6,24,4.8,3.2,6.8,24.6,46.9,18.3,3.3,2.9,10.5,25.4,41.1,19.4,3.6,2.8,8.5,24.8,45.9,17,3.7,2.8
직업별,주부,1.1,17.5,48.5,29.9,3.1,3.2,0.4,11.5,49.9,33.5,4.8,3.3,0.8,8.1,54.4,30.2,6.5,3.3,1.9,18.1,52.4,21.6,6.1,3.1,0.5,8.8,57.3,27,6.4,3.3,1,9.7,58.5,26.2,4.7,3.2,2.4,14.7,53.5,25.1,4.4,3.1,10.3,28.5,40.8,17.6,2.8,2.7,12.3,32,34.1,17.4,4.3,2.7,9.1,30.8,37.6,18.8,3.7,2.8
직업별,무직/기타,1.8,14.3,50.4,29.9,3.6,3.2,1.1,8.8,52,33.8,4.3,3.3,0.9,7,56.8,31.4,3.9,3.3,1.3,17.7,52.5,25.2,3.4,3.1,0.8,8.2,56.7,29.7,4.7,3.3,1.2,8.6,59.3,26.9,3.9,3.2,3,14.3,55.2,23.6,3.8,3.1,8.9,29.3,40.2,18.2,3.4,2.8,9.7,31.4,37.3,17.6,3.9,2.7,6.6,28.8,43.9,17,3.7,2.8
월평균소득별,100만원 미만,2.1,13.7,50.6,30.5,3.1,3.2,0.8,7.9,54.6,32.6,4.1,3.3,0.9,7,56.8,30.7,4.5,3.3,1,16.6,54.7,24.1,3.6,3.1,0.7,6.7,60.8,26.4,5.3,3.3,1.3,8.5,59.7,26.5,3.9,3.2,2.9,15.9,56.3,21,4,3.1,7,29,44.6,15.6,3.9,2.8,7,31.6,41.8,15.2,4.3,2.8,5.2,28.1,46.3,16.6,3.7,2.9
월평균소득별,100~200만원 미만,1.8,17.2,47.2,30.2,3.6,3.2,0.7,10.5,49.8,33.9,5.1,3.3,1,8.7,54.9,31,4.4,3.3,2.4,19.1,49.9,24.7,3.9,3.1,0.9,9.6,54.7,29.8,5,3.3,2.7,10.1,56.1,26.6,4.5,3.2,4.5,15.8,52.6,23.5,3.7,3.1,9.5,28.8,38.8,19.7,3.3,2.8,10.8,31.3,36.3,17.5,4.1,2.7,8.6,31,39.3,16,5.1,2.8
월평균소득별,200~300만원 미만,1.9,17.5,46.9,30.7,3,3.2,0.8,11.1,49.6,34.5,4,3.3,1.2,9.8,51.9,32.5,4.5,3.3,1.9,17.6,51.5,25.4,3.5,3.1,0.9,8.5,55.3,30.5,4.7,3.3,2,9.1,56.5,28.3,4.2,3.2,3.8,13.2,54.3,25.4,3.4,3.1,9.2,26.3,41.9,20.2,2.5,2.8,10.5,30.4,36.4,19.3,3.4,2.7,9,29.2,39.5,19,3.3,2.8
월평균소득별,300~400만원 미만,2.4,17.8,46.2,29.7,3.9,3.1,0.8,11.6,49.1,33.8,4.7,3.3,0.6,9.4,54,30.4,5.7,3.3,1.6,19.8,50.9,22.7,5,3.1,0.3,11.5,54.9,27.5,5.8,3.3,1.1,9.7,58,26.7,4.5,3.2,2.6,14.6,53.4,24.7,4.7,3.1,10.3,30,39,16.6,4.1,2.7,11.8,31.3,35.4,17.4,4.2,2.7,8.7,30.2,40.2,17,3.9,2.8
월평균소득별,400~500만원 미만,1.8,15.2,48.6,30.8,3.5,3.2,1,9.4,48.2,35.7,5.7,3.4,0.8,7.8,54.2,32,5.2,3.3,1.8,18.2,52.5,22.8,4.7,3.1,0.6,7.8,56.3,29.1,6.1,3.3,1.3,8.6,58.6,26.4,5.1,3.3,2.6,11.5,57.3,24.4,4.2,3.2,8.8,27.5,42.4,17.4,3.9,2.8,10.5,31.1,36.3,17.7,4.5,2.7,8.3,29.1,41,18,3.6,2.8
